Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: Alaska Airlines Inc. (AS)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","01/01/2015","0745","N459AS","SEA","18:10","18:27","334","325","17","18:41","14","0","0","0","0","0"
"AS","01/01/2016","0745","N477AS","SEA","18:40","18:49","339","305","9","19:08","19","0","0","0","0","0"
"AS","01/01/2016","0749","N479AS","SEA","07:00","06:59","335","296","-1","07:10","11","0","0","0","0","0"
"AS","01/01/2017","0749","N423AS","SEA","07:05","07:01","335","333","-4","07:13","12","0","0","0","0","0"
"AS","01/01/2017","0777","N423AS","SEA","18:40","20:34","335","308","114","20:47","13","0","0","0","0","87"
"AS","01/01/2017","0901","N464AS","SEA","17:25","20:03","335","331","158","20:33","30","0","0","0","0","154"
"AS","01/01/2017","0903","N487AS","SEA","20:10","21:03","335","308","53","21:17","14","0","0","0","0","26"
"AS","01/01/2018","0085","N409AS","SEA","06:17","06:23","345","331","6","06:38","15","0","0","0","0","0"
"AS","01/01/2018","0745","N566AS","SEA","16:00","15:56","345","343","-4","16:15","19","0","0","0","0","0"
"AS","01/01/2019","0085","N282AK","SEA","06:05","06:11","354","321","6","06:32","21","0","0","0","0","0"
"AS","01/01/2019","0745","N552AS","SEA","15:25","15:18","353","343","-7","15:37","19","0","0","0","0","0"
"AS","01/02/2015","0745","N403AS","SEA","18:10","19:06","334","334","56","19:20","14","7","0","0","0","49"
"AS","01/02/2016","0745","N467AS","SEA","18:40","19:39","339","318","59","20:02","23","0","0","0","0","38"
"AS","01/02/2016","0749","N462AS","SEA","07:00","07:14","335","321","14","07:31","17","0","0","0","0","0"
"AS","01/02/2017","0749","N448AS","SEA","07:05","07:01","335","308","-4","07:23","22","0","0","0","0","0"
"AS","01/02/2017","0777","N448AS","SEA","18:40","18:47","335","325","7","19:04","17","0","0","0","0","0"
"AS","01/02/2018","0085","N431AS","SEA","06:17","06:33","345","311","16","06:49","16","0","0","0","0","0"
"AS","01/02/2018","0745","N403AS","SEA","16:00","16:10","345","328","10","16:22","12","0","0","0","0","0"
"AS","01/02/2019","0745","N292AK","SEA","15:25","15:46","353","342","21","16:16","30","0","0","0","0","0"
"AS","01/03/2015","0745","N467AS","SEA","18:10","18:31","334","348","21","19:00","29","5","0","14","0","16"
"AS","01/03/2016","0745","N433AS","SEA","18:40","18:38","339","317","-2","18:54","16","0","0","0","0","0"
"AS","01/03/2016","0749","N477AS","SEA","07:00","07:11","335","311","11","07:29","18","0","0","0","0","0"
"AS","01/03/2017","0749","N588AS","SEA","07:05","06:56","335","320","-9","07:07","11","0","0","0","0","0"
"AS","01/03/2017","0777","N315AS","SEA","18:40","18:40","335","342","0","18:56","16","0","0","0","0","0"
"AS","01/03/2018","0745","N462AS","SEA","15:52","16:10","345","340","18","16:24","14","0","0","0","0","0"
"AS","01/03/2019","0085","N247AK","SEA","06:05","06:15","354","335","10","06:34","19","0","0","0","0","0"
